1, Chip,Freq (Ghz),SIMD,SIMD units,Cores,Sockets,Watts,Price ($),GFlops/Socket,GFlops/Watt,GFlops/DÃ²llar,Normalized GFlops/Socket,Normalized GFlops/Watt,Normalized GFlops/Dollar
2, ThunderX2 CN9980,2.20,128,2,32,1,180,1795,563.20,3.13,0.314,0.36,0.37,1.00
3, ThunderX2 CN9978,2.20,128,2,30,1,175,1600,528.00,3.02,0.330,0.34,0.35,1.05
4, AMD EPYC 7702P,2.00,256,2,64,1,200,4783.99,2048.00,10.24,0.428,1.31,1.20,1.36
5, AMD EPYC Rome 7502P,2.50,256,2,32,1,180,2493.99,1280.00,7.11,0.513,0.82,0.83,1.63
6, AMD EPYC 7742,2.25,256,2,64,1,225,7581.02,2304.00,10.24,0.304,1.47,1.20,0.97
7, AMD EPYC 7601,2.20,256,2,32,1,180,3388.34,1126.40,6.26,0.332,0.72,0.73,1.06
8, AMD EPYC Rome 7542,2.90,256,2,32,1,225,3840.88,1484.80,6.60,0.387,0.95,0.77,1.23
9, Intel Xeon Platinum 8253,2.20,512,2,16,1,125,3115,1126.40,9.01,0.362,0.72,1.06,1.15
10, Intel Xeon Platinum 8256,3.80,512,2,8,1,105,7007,972.80,9.26,0.139,0.62,1.09,0.44
11, Intel Xeon Platinum 8260,2.40,512,2,24,1,165,4702,1843.20,11.17,0.392,1.18,1.31,1.25
12, Intel Xeon Platinum 8276,2.20,512,2,28,1,165,8716,1971.20,11.95,0.226,1.26,1.40,0.72
13, Intel Xeon Platinum 8280L,2.70,512,2,28,1,205,13012,2419.20,11.80,0.186,1.55,1.38,0.59
14, Intel Xeon Platinum 8284,3.00,512,2,28,1,240,15460,2688.00,11.20,0.174,1.72,1.31,0.55
